Importers,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
World,3660,3150,3764,3941,2034,1795,1868,1736,1790,1920
France,835,795,527,627,278,229,414,236,490,756
"Hong Kong, China",134,193,453,288,136,142,54,45,42,318
Germany,1564,2055,2080,2045,1436,1105,1046,1146,619,306
Bhutan,0,0,1,0,3,5,116,175,322,229
Switzerland,230,13,542,846,125,14,178,90,103,138
United States of America,362,61,105,2,3,10,,1,168,93
Nepal,0,0,0,0,0,11,49,28,44,34
Netherlands,0,0,0,0,0,0,,,,21
Belgium,0,0,0,0,2,0,,,,9
United Arab Emirates,0,0,0,0,10,0,,,,8
Israel,51,29,29,30,5,4,4,5,,6
Australia,0,0,0,0,0,0,2,5,2,
Austria,3,0,0,0,0,0,,,,
Bosnia and Herzegovina,0,0,0,0,23,66,,,,
Sri Lanka,0,0,0,1,0,0,,,,
China,433,0,19,19,0,0,,,,
Italy,6,0,0,0,0,0,,,,
Japan,0,0,0,40,13,0,,,,
Lao People's Democratic Republic,0,0,0,0,0,130,,,,
Mexico,0,0,0,14,0,0,,,,
Russian Federation,29,0,0,0,0,0,,,,
Singapore,0,0,0,0,0,0,,,,
Spain,5,3,0,0,0,0,,,,
Sweden,8,0,8,28,0,3,5,5,,
Thailand,0,0,0,0,0,76,,,,
